chassis,amount_in_company_currency_mean,amount_in_company_currency_median,amount_in_company_currency_max,amount_in_company_currency_min,amount_in_company_currency_sum,amount_in_company_currency_std,total_deal_quantity_mean,total_deal_quantity_median,total_deal_quantity_max,total_deal_quantity_min,total_deal_quantity_sum,total_deal_quantity_std,total_sku_cost_mean,total_sku_cost_median,total_sku_cost_max,total_sku_cost_min,total_sku_cost_sum,total_sku_cost_std,gross_margin_mean,gross_margin_median,gross_margin_max,gross_margin_min,gross_margin_sum,gross_margin_std
10.00,2634.76,1556.00,151035.11,0.00,17323559.43,4440.63,329.30,150.00,25085.00,30.00,2165496.00,753.35,737.24,423.36,43086.72,122.88,4848102.36,1266.45,0.70,0.71,0.94,-10.35,4619.13,0.17
11.00,1563.88,1052.00,10272.00,642.60,31277.55,2088.97,173.70,90.00,1600.00,60.00,3474.00,338.76,493.15,357.84,3369.60,203.76,9863.04,688.08,0.69,0.68,0.80,0.62,13.70,0.05
12.00,3261.67,1849.20,60910.00,0.00,544698.26,5558.38,417.22,240.00,12000.00,16.00,69675.00,1013.59,866.92,528.00,18151.92,122.76,144775.80,1551.87,0.71,0.73,0.85,0.00,119.38,0.10
13.00,4300.81,1629.60,29075.46,1330.00,111820.98,6179.32,840.69,244.00,10000.00,200.00,21858.00,1937.12,1306.45,374.10,12024.00,313.20,33967.80,2426.09,0.75,0.77,0.82,0.47,19.44,0.08
14.00,4415.36,3529.40,9389.52,1521.60,35322.88,3175.20,700.00,680.00,1600.00,200.00,5600.00,504.61,1199.34,1104.90,2366.40,313.20,9594.72,866.21,0.74,0.75,0.80,0.65,5.91,0.06
15.00,2397.81,1627.80,18970.38,1088.75,105503.85,2804.74,272.36,122.50,2853.00,120.00,11984.00,433.24,958.28,510.60,7858.32,488.40,42164.16,1192.81,0.61,0.59,0.73,0.43,26.72,0.07
17.00,3011.32,1867.20,26806.54,466.80,514934.98,3505.08,395.25,240.00,5000.00,60.00,67587.00,571.42,880.31,557.28,8125.92,184.32,150533.40,987.43,0.70,0.70,0.82,0.49,118.99,0.06
18.00,2084.70,1053.60,8021.25,0.00,14592.87,2741.89,298.57,120.00,1250.00,60.00,2090.00,431.76,622.49,351.12,2175.12,184.32,4357.44,707.81,0.62,0.72,0.76,0.00,4.33,0.27
20.00,2852.26,1995.66,10907.20,660.00,71306.52,2262.06,382.32,250.00,1360.00,60.00,9558.00,329.29,1167.04,789.36,3739.80,300.96,29175.96,915.17,0.59,0.57,0.78,0.49,14.84,0.07
21.00,2574.24,2574.24,3192.00,1956.47,5148.47,873.65,365.00,365.00,480.00,250.00,730.00,162.63,1093.26,1093.26,1471.08,715.44,2186.52,534.32,0.59,0.59,0.63,0.54,1.17,0.07
40.00,2627.85,1314.00,65565.00,0.00,911863.01,5266.89,357.09,120.00,15500.00,50.00,123909.00,1081.75,781.71,395.28,23584.32,184.32,271251.84,1680.75,0.67,0.69,0.95,-3.24,231.57,0.24
41.00,3039.86,2502.48,5920.00,1234.50,12159.46,2153.89,320.25,310.50,585.00,75.00,1281.00,260.14,752.19,685.20,1344.00,294.36,3008.76,510.42,0.75,0.74,0.81,0.71,3.00,0.05
42.00,2078.88,1738.20,6420.00,581.40,16631.02,1878.93,275.00,180.00,1000.00,60.00,2200.00,310.71,628.15,431.28,2022.72,184.32,5025.24,610.36,0.70,0.69,0.80,0.64,5.63,0.05
44.00,3701.20,1831.84,24450.00,581.40,236876.83,4685.70,525.89,220.00,5000.00,60.00,33657.00,875.92,1090.63,517.44,8527.20,184.32,69800.40,1496.73,0.71,0.71,0.81,0.54,45.19,0.05
45.00,1317.00,1317.00,1317.00,1317.00,1317.00,,150.00,150.00,150.00,150.00,150.00,,418.32,418.32,418.32,418.32,418.32,,0.68,0.68,0.68,0.68,0.68,
46.00,2772.21,1249.50,46103.45,0.00,285537.40,5124.28,376.54,130.00,8000.00,60.00,38784.00,880.83,790.00,404.88,12504.96,184.32,81369.60,1384.32,0.68,0.72,0.90,0.00,69.93,0.13
55.00,2260.53,1407.00,38515.89,0.00,1064710.28,2954.53,253.59,130.00,4506.00,35.00,119439.00,391.66,622.91,383.04,7756.56,122.88,293391.12,713.94,0.70,0.72,0.90,-0.10,330.34,0.11
93.00,4092.09,3830.95,12324.26,864.00,49105.06,3113.47,0.00,0.00,0.00,0.00,0.00,0.00,744.52,655.00,1965.00,216.00,8934.20,514.01,0.81,0.82,0.84,0.75,9.72,0.03
910.00,4034.61,2598.50,13110.00,193.00,64553.76,3180.85,0.00,0.00,0.00,0.00,0.00,0.00,666.99,470.00,2040.00,91.52,10671.80,476.32,0.81,0.82,0.87,0.53,12.93,0.08
920.00,3497.83,2675.00,9250.00,0.00,45471.85,2258.02,0.00,0.00,0.00,0.00,0.00,0.00,903.98,610.00,2648.00,428.00,11751.80,612.62,0.72,0.77,0.85,0.00,9.33,0.22
